QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: int doOne(int,int,int,int)> $r59 = r0.pstmt1,r0 (PseudoJDBCBench$ClientThread.doOne));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> r0.pstmt1 = $r14,r0 (PseudoJDBCBench$ClientThread.<init>));true;-1;true;true;19;false;false;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void run()> r0.ntrans = $i6,r0 (PseudoJDBCBench$ClientThread.run));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> r0.ntrans = 0,r0 (PseudoJDBCBench$ClientThread.<init>));true;-1;true;true;21;false;false;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void run()> r0.Conn = null,r0 (PseudoJDBCBench$ClientThread.run));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: int doOne(int,int,int,int)> $r2 = r0.Conn,r0 (PseudoJDBCBench$ClientThread.doOne));true;-1;true;true;49;false;true;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)> r0.failed_transactions = 0,r0 (PseudoJDBCBench.<init>));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench: void reportDone()> r0.failed_transactions = 0,r0 (PseudoJDBCBench.reportDone));false;36;false;true;24;false;true;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$MemoryWatcherThread: void <init>(dacapo.hsqldb.PseudoJDBCBench)> r0.min = 0L,r0 (PseudoJDBCBench$MemoryWatcherThread.<init>));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$MemoryWatcherThread: void run()> r0.min = l2,r0 (PseudoJDBCBench$MemoryWatcherThread.run));true;124;false;true;22;false;true;5;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: int doOne(int,int,int,int)> $r58 = r0.pstmt1,r0 (PseudoJDBCBench$ClientThread.doOne));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> r0.pstmt1 = null,r0 (PseudoJDBCBench$ClientThread.<init>));true;-1;true;true;26;false;false;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void run()> $r1 = r0.pstmt1,r0 (PseudoJDBCBench$ClientThread.run));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> r0.pstmt1 = $r14,r0 (PseudoJDBCBench$ClientThread.<init>));true;-1;true;true;22;false;false;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$MemoryWatcherThread: void <init>(dacapo.hsqldb.PseudoJDBCBench)> r0.max = 0L,r0 (PseudoJDBCBench$MemoryWatcherThread.<init>));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$MemoryWatcherThread: void run()> $l5 = r0.max,r0 (PseudoJDBCBench$MemoryWatcherThread.run));true;103;false;true;22;false;true;5;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench: void reportDone()> $l1 = r0.start_time,r0 (PseudoJDBCBench.reportDone));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)> r0.start_time = $l5,r0 (PseudoJDBCBench.<init>));true;-1;true;true;20;false;true;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: int doOne(int,int,int,int)> $r63 = r0.pstmt2,r0 (PseudoJDBCBench$ClientThread.doOne));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> r0.pstmt2 = null,r0 (PseudoJDBCBench$ClientThread.<init>));true;-1;true;true;21;false;false;0;false
BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: int doOne(int,int,int,int)> $r70 = r0.pstmt4,r0 (PseudoJDBCBench$ClientThread.doOne));BackwardQuery: (<dacapo.hsqldb.PseudoJDBCBench$ClientThread: void <init>(dacapo.hsqldb.PseudoJDBCBench,int,java.lang.String,java.lang.String,java.lang.String)> r0.pstmt4 = $r38,r0 (PseudoJDBCBench$ClientThread.<init>));true;-1;true;true;20;false;false;0;false
