QueryA;QueryB;Boomerang_res;Boomerang_time(ms);Boomerang_timeout;Sridharan_res;Sridharan_time(ms);Sridharan_timeout;Dacong_res;Dacong_time(ms);Dacong_timeout
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleContextImpl: void <init>(org.eclipse.osgi.framework.internal.core.BundleHost)> r0.serviceEvent = varReplacer2414,r0 (BundleContextImpl.<init>));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleContextImpl: void addServiceListener(org.osgi.framework.ServiceListener,java.lang.String)> $r8 = r0.serviceEvent,r0 (BundleContextImpl.addServiceListener));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.Framework: java.io.InputStream findVMProfile()> $r4 = r0.vmProfile,r0 (Framework.findVMProfile));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.Framework: void setExecutionEnvironment()> r0.vmProfile = $r22,r0 (Framework.setExecutionEnvironment));true;-1;true;true;391;false;true;2;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_item(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i25,r0 (FilterImpl$Parser.parse_item));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_filtercomp(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i3,r0 (FilterImpl$Parser.parse_filtercomp));true;74;false;true;537;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_or(org.eclipse.osgi.framework.internal.core.FilterImpl)> $r6 = r0.filter,r0 (FilterImpl$Parser.parse_or));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void <init>(java.lang.String)> r0.filter = $r2,r0 (FilterImpl$Parser.<init>));true;122;false;true;508;false;true;1;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_item(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i11,r0 (FilterImpl$Parser.parse_item));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_filter(org.eclipse.osgi.framework.internal.core.FilterImpl)> $i6 = r0.pos,r0 (FilterImpl$Parser.parse_filter));true;92;false;true;402;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.ServiceUse: java.lang.Object getService()> r1 = $r5.bundle,$r5 (ServiceUse.getService));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleContextImpl: void <init>(org.eclipse.osgi.framework.internal.core.BundleHost)> r0.bundle = r1,r0 (BundleContextImpl.<init>));true;-1;true;true;-1;true;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleLoader: void initialize(org.eclipse.osgi.service.resolver.BundleDescription)> r0.policy = $r15,r0 (BundleLoader.initialize));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleLoader: void close()> r0.policy = varReplacer4953,r0 (BundleLoader.close));true;-1;true;true;-1;true;true;144;false
BackwardQuery: (<org.eclipse.osgi.framework.eventmgr.EventManager$EventThread: org.eclipse.osgi.framework.eventmgr.EventManager$EventThread$Queued getNextEvent()> r1 = r0.head,r0 (EventManager$EventThread.getNextEvent));BackwardQuery: (<org.eclipse.osgi.framework.eventmgr.EventManager$EventThread: void postEvent(org.eclipse.osgi.framework.eventmgr.EventListeners$ListElement[],org.eclipse.osgi.framework.eventmgr.EventDispatcher,int,java.lang.Object)> r0.head = r4,r0 (EventManager$EventThread.postEvent));true;-1;true;true;-1;true;false;2;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_item(org.eclipse.osgi.framework.internal.core.FilterImpl)> r0.pos = $i11,r0 (FilterImpl$Parser.parse_item));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_filtercomp(org.eclipse.osgi.framework.internal.core.FilterImpl)> $i4 = r0.pos,r0 (FilterImpl$Parser.parse_filtercomp));true;76;false;true;388;false;true;0;false
BackwardQuery: (<org.eclipse.osgi.framework.internal.core.ServiceRegistrationImpl: org.eclipse.osgi.framework.internal.core.ServiceRegistrationImpl$Properties createProperties(java.util.Dictionary)> r0.serviceranking = $i1,r0 (ServiceRegistrationImpl.createProperties));BackwardQuery: (<org.eclipse.osgi.framework.internal.core.ServiceReferenceImpl: int getRanking()> $i0 = $r1.serviceranking,$r1 (ServiceReferenceImpl.getRanking));true;-1;true;true;-1;true;true;0;false
