Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)> $r9 = new Vector,$r9 (Code.<init>) Value: new java.util.Vector);$r9 = new java.util.Vector;<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;false;1245205;100036;1168;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)> $r9 = new Vector,$r9 (Code.<init>) Value: new java.util.Vector);$r9 = new java.util.Vector;<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;false;1245373;100036;1168;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;1577;1669;34;4268;true;false;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;1579;1669;34;4268;true;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.PyJavaClass: java.lang.reflect.Field[] getAccessibleFields(java.lang.Class)> $r1 = new Vector,$r1 (PyJavaClass.getAccessibleFields) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.core.PyJavaClass: java.lang.reflect.Field[] getAccessibleFields(java.lang.Class)>;org.python.core.PyJavaClass;false;false;98;247;13;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.PyJavaClass: java.lang.reflect.Field[] getAccessibleFields(java.lang.Class)> $r1 = new Vector,$r1 (PyJavaClass.getAccessibleFields) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.core.PyJavaClass: java.lang.reflect.Field[] getAccessibleFields(java.lang.Class)>;org.python.core.PyJavaClass;false;false;99;247;13;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.LineNumberTable: void <init>(org.python.compiler.ConstantPool)> $r2 = new Vector,$r2 (LineNumberTable.<init>) Value: new java.util.Vector);$r2 = new java.util.Vector;<org.python.compiler.LineNumberTable: void <init>(org.python.compiler.ConstantPool)>;org.python.compiler.LineNumberTable;false;true;1280332;73506;1118;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.PyJavaClass: java.lang.Class[] getAccessibleInterfaces(java.lang.Class)> $r3 = new Vector,$r3 (PyJavaClass.getAccessibleInterfaces) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.python.core.PyJavaClass: java.lang.Class[] getAccessibleInterfaces(java.lang.Class)>;org.python.core.PyJavaClass;false;false;49;257;13;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.PyJavaClass: java.lang.Class[] getAccessibleInterfaces(java.lang.Class)> $r3 = new Vector,$r3 (PyJavaClass.getAccessibleInterfaces) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.python.core.PyJavaClass: java.lang.Class[] getAccessibleInterfaces(java.lang.Class)>;org.python.core.PyJavaClass;false;false;50;257;13;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)> $r11 = new Stack,$r11 (CodeCompiler.<init>) Value: new java.util.Stack);$r11 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;657877;113811;1226;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)> $r10 = new Vector,$r10 (Code.<init>) Value: new java.util.Vector);$r10 = new java.util.Vector;<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;1231265;94370;1091;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.util.CommandLineOptions: void <init>()> $r1 = new Vector,$r1 (CommandLineOptions.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.util.CommandLineOptions: void <init>()>;org.python.util.CommandLineOptions;true;false;1179;2686;17;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.util.CommandLineOptions: void <init>()> $r1 = new Vector,$r1 (CommandLineOptions.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.util.CommandLineOptions: void <init>()>;org.python.util.CommandLineOptions;true;false;1181;2686;17;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)> $r8 = new Vector,$r8 (ClassFile.<init>) Value: new java.util.Vector);$r8 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;1264035;88158;1044;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ScopeInfo: void cook(org.python.compiler.ScopeInfo,org.python.compiler.CompilationContext)> $r5 = new Vector,$r5 (ScopeInfo.cook) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void cook(org.python.compiler.ScopeInfo,org.python.compiler.CompilationContext)>;org.python.compiler.ScopeInfo;true;false;158;681;14;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ScopeInfo: void cook(org.python.compiler.ScopeInfo,org.python.compiler.CompilationContext)> $r5 = new Vector,$r5 (ScopeInfo.cook) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void cook(org.python.compiler.ScopeInfo,org.python.compiler.CompilationContext)>;org.python.compiler.ScopeInfo;true;false;158;681;14;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.BytecodeLoader: java.util.Vector init()> $r1 = new Vector,$r1 (BytecodeLoader.init) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.core.BytecodeLoader: java.util.Vector init()>;org.python.core.BytecodeLoader;false;false;277;692;28;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.BytecodeLoader: java.util.Vector init()> $r1 = new Vector,$r1 (BytecodeLoader.init) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.core.BytecodeLoader: java.util.Vector init()>;org.python.core.BytecodeLoader;false;false;278;692;28;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)> $r14 = new Stack,$r14 (CodeCompiler.<init>) Value: new java.util.Stack);$r14 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;606340;90040;1002;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ArgListCompiler: void <init>()> $r2 = new Vector,$r2 (ArgListCompiler.<init>) Value: new java.util.Vector);$r2 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;1328654;70307;918;4268;true;true;0;0;
