Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal;IO;ForwardQuery: (org.hsqldb.scriptio.ScriptReaderText.<init> $r3.<init>(),$r3 (ScriptReaderText.<init>) Value: specialinvoke $r3.<org.hsqldb.rowio.RowInputTextLog: void <init>()>());<org.hsqldb.scriptio.ScriptReaderText: void <init>(org.hsqldb.Database,java.lang.String)>;org.hsqldb.scriptio.ScriptReaderText;false;false;76;860;38;35;79;5923;
ideal;IO;ForwardQuery: (org.hsqldb.lib.ZipUnzipFile.decompressFile $r4.<init>($r5,$r6),$r4 (ZipUnzipFile.decompressFile) Value: specialinvoke $r4.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>($r5, $r6));<org.hsqldb.lib.ZipUnzipFile: void decompressFile(java.lang.String,java.lang.String,org.hsqldb.lib.FileAccess)>;org.hsqldb.lib.ZipUnzipFile;false;false;51;170;44;4;11;5923;
ideal;IO;ForwardQuery: (org.hsqldb.persist.TextCache.initBuffers $r10.<init>($r13,$r12,$r11,0),$r10 (TextCache.initBuffers) Value: specialinvoke $r10.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r13, $r12, $r11, 0));<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;false;4;38;1;0;7;5923;
ideal;IO;ForwardQuery: (org.hsqldb.rowio.RowInputText.<init> r0.<init>($r1),r0 (RowInputText.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1));<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>;org.hsqldb.rowio.RowInputText;false;false;7;89;2;2;9;5923;
ideal;IO;ForwardQuery: (org.hsqldb.persist.LockFile.readHeartbeat $r15.<init>($r16),$r15 (LockFile.readHeartbeat) Value: specialinvoke $r15.<java.io.FileInputStream: void <init>(java.io.File)>($r16));<org.hsqldb.persist.LockFile: long readHeartbeat()>;org.hsqldb.persist.LockFile;false;false;3125;2809;1057;109;179;5923;
ideal;IO;ForwardQuery: (org.hsqldb.scriptio.ScriptReaderBinary.openFile $r6.<init>($r7),$r6 (ScriptReaderBinary.openFile) Value: specialinvoke $r6.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r7));<org.hsqldb.scriptio.ScriptReaderBinary: void openFile()>;org.hsqldb.scriptio.ScriptReaderBinary;false;false;214;608;146;199;41;5923;
ideal;IO;ForwardQuery: (org.hsqldb.rowio.RowInputBase.<init> r0.<init>(r1),r0 (RowInputBase.<init>) Value: specialinvoke r0.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>(r1));<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>;org.hsqldb.rowio.RowInputBase;false;false;3253;11141;1704;2044;292;5923;
ideal;IO;ForwardQuery: (org.hsqldb.scriptio.ScriptReaderZipped.openFile $r6.<init>($r7),$r6 (ScriptReaderZipped.openFile) Value: specialinvoke $r6.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r7));<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;false;217;608;147;201;41;5923;
ideal-ap;IO;$r3 @ specialinvoke $r3.<org.hsqldb.rowio.RowInputTextLog: void <init>()>();<org.hsqldb.scriptio.ScriptReaderText: void <init>(org.hsqldb.Database,java.lang.String)>;org.hsqldb.scriptio.ScriptReaderText;false;true;4051;1725;4051;0;88;5923;
ideal-ap;IO;$r10 @ specialinvoke $r10.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r13, $r12, $r11, 0);<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;true;60053;38;60053;0;5;5923;
