Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal-ap;EmptyVector;$r4 @ $r4 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addPath(java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;33818;392;33818;0;21;3055;
ideal-ap;EmptyVector;$r21 @ $r21 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;31042;447;31042;0;20;3055;
ideal-ap;EmptyVector;$r20 @ $r20 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: boolean implies(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;false;78;253;23;55;11;3055;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;<org.eclipse.osgi.util.ManifestElement: java.lang.String[] getArrayFromList(java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;67;221;16;51;13;3055;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl: void <init>(org.eclipse.osgi.framework.internal.core.Framework,org.eclipse.osgi.framework.adaptor.PermissionStorage)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl;false;true;36757;419948;36757;0;654;3055;
ideal;IteratorHasNext;ForwardQuery: (org.osgi.framework.AdminPermissionCollection.implies $r5.iterator(),r3 (AdminPermissionCollection.implies) Value: interfaceinvoke $r5.<java.util.Collection: java.util.Iterator iterator()>());<org.osgi.framework.AdminPermissionCollection: boolean implies(java.security.Permission)>;org.osgi.framework.AdminPermissionCollection;false;false;289;102;241;10;23;3055;
ideal;IteratorHasNext;ForwardQuery: (dacapo.Benchmark.validate $r5.iterator(),r2 (Benchmark.validate) Value: interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>());<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;false;false;1;1;0;0;2;3055;
ideal;IteratorHasNext;ForwardQuery: (org.eclipse.osgi.framework.internal.core.Framework.selectNativeCode r4.iterator(),r28 (Framework.selectNativeCode) Value: virtualinvoke r4.<java.util.ArrayList: java.util.Iterator iterator()>());<org.eclipse.osgi.framework.internal.core.Framework: java.lang.String[] selectNativeCode(org.osgi.framework.Bundle)>;org.eclipse.osgi.framework.internal.core.Framework;true;false;141;69;129;7;9;3055;
ideal;IteratorHasNext;ForwardQuery: (dacapo.Benchmark.postIterationCleanup $r5.iterator(),r2 (Benchmark.postIterationCleanup) Value: interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>());<dacapo.Benchmark: void postIterationCleanup(java.lang.String)>;dacapo.Benchmark;false;false;1;1;0;0;2;3055;
ideal;IteratorHasNext;ForwardQuery: (org.eclipse.osgi.framework.debug.FrameworkDebugOptions.loadOptions $r37.iterator(),r38 (FrameworkDebugOptions.loadOptions) Value: interfaceinvoke $r37.<java.util.Set: java.util.Iterator iterator()>());<org.eclipse.osgi.framework.debug.FrameworkDebugOptions: void loadOptions()>;org.eclipse.osgi.framework.debug.FrameworkDebugOptions;false;false;220;108;195;11;23;3055;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;true;false;507;410;329;178;4;3055;
ideal-ap;IteratorHasNext;r38 @ r38 = interfaceinvoke $r37.<java.util.Set: java.util.Iterator iterator()>();<org.eclipse.osgi.framework.debug.FrameworkDebugOptions: void loadOptions()>;org.eclipse.osgi.framework.debug.FrameworkDebugOptions;false;true;60067;160;60067;0;10;3055;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: void postIterationCleanup(java.lang.String)>;dacapo.Benchmark;true;false;118;71;45;73;4;3055;
ideal-ap;IteratorHasNext;r28 @ r28 = virtualinvoke r4.<java.util.ArrayList: java.util.Iterator iterator()>();<org.eclipse.osgi.framework.internal.core.Framework: java.lang.String[] selectNativeCode(org.osgi.framework.Bundle)>;org.eclipse.osgi.framework.internal.core.Framework;true;false;105;54;30;75;4;3055;
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke $r5.<java.util.Collection: java.util.Iterator iterator()>();<org.osgi.framework.AdminPermissionCollection: boolean implies(java.security.Permission)>;org.osgi.framework.AdminPermissionCollection;false;true;60055;140;60055;0;10;3055;
ideal;IO;ForwardQuery: (dacapo.Benchmark.unpackZipFileResource $r4.<init>($r5),$r4 (Benchmark.unpackZipFileResource) Value: specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5));<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;3797;1914;2588;85;50;3055;
