Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;<org.python.compiler.LineNumberTable: void <init>(org.python.compiler.ConstantPool)>;org.python.compiler.LineNumberTable;false;true;60684;150;60684;0;14;4247;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;31025;968087;31025;0;790;4247;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Stack;<org.python.parser.JJTPythonGrammarState: void <init>()>;org.python.parser.JJTPythonGrammarState;false;true;31148;36195;31148;0;315;4247;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;false;false;351;560;108;243;13;4247;
ideal-ap;EmptyVector;$r12 @ $r12 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;true;60075;204;60075;0;13;4247;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;<org.python.core.BytecodeLoader: java.util.Vector init()>;org.python.core.BytecodeLoader;false;true;6485;3175;6485;0;27;4247;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;37127;2076070;37127;0;800;4247;
ideal-ap;EmptyVector;$r6 @ $r6 = new java.util.Vector;<org.python.parser.PythonGrammar: void <init>(org.python.parser.CharStream)>;org.python.parser.PythonGrammar;false;true;60150;9637;60150;0;285;4247;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;<org.python.core.PyJavaClass: java.lang.reflect.Field[] getAccessibleFields(java.lang.Class)>;org.python.core.PyJavaClass;false;false;115;189;22;93;12;4247;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Stack;<org.python.core.ThreadState: void pushInitializingProxy(org.python.core.PyInstance)>;org.python.core.ThreadState;false;false;30105;262;30030;75;22;4247;
ideal-ap;EmptyVector;$r8 @ $r8 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;31024;2554777;31024;0;790;4247;
ideal-ap;EmptyVector;$r14 @ $r14 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;31024;2049340;31024;0;788;4247;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;false;false;292;1616;189;103;32;4247;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;31023;2587011;31023;0;784;4247;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;<org.python.util.CommandLineOptions: void <init>()>;org.python.util.CommandLineOptions;false;false;817;15712;330;487;16;4247;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;31024;2400927;31024;0;790;4247;
ideal;IteratorHasNext;ForwardQuery: (dacapo.Benchmark.postIterationCleanup $r5.iterator(),r2 (Benchmark.postIterationCleanup) Value: interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>());<dacapo.Benchmark: void postIterationCleanup(java.lang.String)>;dacapo.Benchmark;false;false;25;1;7;0;2;4247;
ideal;IteratorHasNext;ForwardQuery: (dacapo.Benchmark.validate $r5.iterator(),r2 (Benchmark.validate) Value: interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>());<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;false;false;1;1;1;0;2;4247;
ideal;IteratorHasNext;ForwardQuery: (org.python.core.PyType.fillFromClass $r14.iterator(),r111 (PyType.fillFromClass) Value: interfaceinvoke $r14.<java.util.Set: java.util.Iterator iterator()>());<org.python.core.PyType: void fillFromClass(org.python.core.PyType,java.lang.String,java.lang.Class,java.lang.Class,boolean,java.lang.reflect.Method,java.lang.String[])>;org.python.core.PyType;false;false;29;1;0;0;2;4247;
ideal;IteratorHasNext;ForwardQuery: (org.python.core.PySequenceList.iterator $r1.iterator(),$r2 (PySequenceList.iterator) Value: virtualinvoke $r1.<org.python.core.PyObjectList: java.util.Iterator iterator()>());<org.python.core.PySequenceList: java.util.Iterator iterator()>;org.python.core.PySequenceList;false;false;353;160;309;5;21;4247;
